[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-02-08 20:40:24] n=39: 614 below min->0, 0 above max->1, total=115990 (range=[0.1424, 1.0000]).
[2026-02-08 20:40:24] n=40: 584 below min->0, 0 above max->1, total=115755 (range=[0.1406, 1.0000]).
[2026-02-08 20:40:24] n=41: 502 below min->0, 0 above max->1, total=114641 (range=[0.1388, 1.0000]).
[2026-02-08 20:40:24] n=42: 496 below min->0, 0 above max->1, total=113524 (range=[0.1372, 1.0000]).
[2026-02-08 20:40:24] n=43: 475 below min->0, 0 above max->1, total=112690 (range=[0.1355, 1.0000]).
[2026-02-08 20:40:24] n=44: 457 below min->0, 0 above max->1, total=112193 (range=[0.1340, 1.0000]).
[2026-02-08 20:40:24] n=45: 420 below min->0, 0 above max->1, total=112224 (range=[0.1325, 1.0000]).
[2026-02-08 20:40:25] n=46: 403 below min->0, 0 above max->1, total=111610 (range=[0.1310, 1.0000]).
[2026-02-08 20:40:25] n=47: 424 below min->0, 0 above max->1, total=110966 (range=[0.1296, 1.0000]).
[2026-02-08 20:40:25] n=48: 407 below min->0, 0 above max->1, total=109956 (range=[0.1282, 1.0000]).
[2026-02-08 20:40:25] n=49: 387 below min->0, 0 above max->1, total=109601 (range=[0.1269, 1.0000]).
[2026-02-08 20:40:25] n=50: 318 below min->0, 0 above max->1, total=109947 (range=[0.1256, 1.0000]).
[2026-02-08 20:40:25] n=51: 335 below min->0, 0 above max->1, total=109011 (range=[0.1244, 1.0000]).
[2026-02-08 20:40:25] n=52: 360 below min->0, 0 above max->1, total=109446 (range=[0.1232, 1.0000]).
[2026-02-08 20:40:25] n=53: 361 below min->0, 0 above max->1, total=108997 (range=[0.1220, 1.0000]).
